GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_000800845.2	2384008	GCF_000800845.1	2850918	
GCA_000801165.1	1420668	GCF_000801165.1	1490268	
GCA_000801185.2	1820168	GCF_000801185.2	1864178	
GCA_000801205.1	1420708	GCF_000801205.1	1490188	
GCA_000803705.1	1423388	GCF_000803705.1	1490448	
GCA_000813165.1	1461668	GCF_000813165.1	1489688	
GCA_000814145.2	1651168	GCF_000814145.2	1671108	
GCA_000819645.1	1478848	GCF_000819645.1	1661888	
GCA_000827105.1	1490518	GCF_000827105.1	1500918	
GCA_000829985.1	1506658	GCF_000829985.1	1508428	
GCA_000830035.1	1506708	GCF_000830035.1	1508608	
GCA_000831565.1	1509618	GCF_000831565.1	1515578	
GCA_000833145.1	1514448	GCF_000833145.1	1525388	
GCA_000833635.2	4228018	GCF_000833635.2	4242748	
GCA_000931565.1	1636548	GCF_000931565.1	1659258	
GCA_000952955.1	1684058	GCF_000952955.1	1694138	
GCA_000953515.1	1684578	GCF_000953515.1	1694158	
GCA_000967155.1	1715868	GCF_000967155.2	2721778	
GCA_000968515.1	1720138	GCF_000968515.1	1722358	
GCA_000971615.1	1726358	GCF_000971615.1	1727878	
GCA_000974405.1	1730148	GCF_000974405.1	1736458	
GCA_000974465.1	1730198	GCF_000974465.1	1736478	
GCA_000974505.1	1730238	GCF_000974505.1	1736718	
GCA_000974535.1	1730278	GCF_000974535.1	1736378	
GCA_000974575.1	1730308	GCF_000974575.1	1736738	
GCA_000974825.1	1730768	GCF_000974825.1	1736498	
GCA_000974865.1	1730808	GCF_000974865.1	1736758	
GCA_000974885.1	1730828	GCF_000974885.1	1736398	
GCA_000981485.1	1741018	GCF_000981485.1	1751698	
GCA_000986765.1	1746538	GCF_000986765.1	1752818	
GCA_000987875.1	1747978	GCF_000987875.1	1752838	
GCA_000988355.1	1749078	GCF_000988355.1	1770338	
GCA_000988385.1	1749118	GCF_000988385.1	1770238	
GCA_000988465.1	1749178	GCF_000988465.1	1770358	
